,Structure,SpaceType,Sum of Inventory,Sum of 8am,Sum of 9am,Sum of 10am,Sum of 11am,Sum of 12pm,Sum of 1pm,Sum of 2pm,Sum of 3pm,Sum of 4pm,Sum of 5pm,Min of EmptyCalc,Sum of OccupiedCalc,Sum of PercentCalc,quarter
0,Athena,A,187,129,91,71,60,52,68,69,75,107,134,52,135,0.7219251336898396,fall
1,Athena,Accessible,81,53,46,31,35,37,31,36,44,55,67,31,50,0.6172839506172839,fall
2,Athena,Allocated,45,22,15,18,15,21,11,9,12,21,28,9,36,0.8,fall
3,Athena,B,655,334,262,220,194,193,176,177,237,321,380,176,479,0.7312977099236642,fall
4,Athena,Reserved,6,5,5,5,5,5,5,5,5,6,6,5,1,0.16666666666666666,fall
5,Athena,Visitor,265,154,128,84,87,102,94,101,113,110,176,84,181,0.6830188679245283,fall
6,Athena Total,,1239,697,547,429,396,410,385,397,486,620,791,385,854,0.6892655367231638,fall
7,Campus Point East,A,372,134,46,16,19,15,32,47,61,120,144,15,357,0.9596774193548387,fall
8,Campus Point East,Accessible,12,12,12,11,11,11,12,12,12,12,12,11,1,0.08333333333333333,fall
9,Campus Point East,Allocated,3,2,1,0,0,0,1,0,2,3,2,0,3,1,fall
10,Campus Point East,Reserved,37,27,22,22,19,18,20,24,24,32,31,18,19,0.5135135135135135,fall
11,Campus Point East Total,,424,175,81,49,49,44,65,83,99,167,189,44,380,0.8962264150943396,fall
12,Campus Point West,A,7,7,0,0,0,1,0,0,1,2,3,0,7,1,fall
13,Campus Point West,Accessible,104,44,24,39,24,20,25,33,41,49,50,20,84,0.8076923076923077,fall
14,Campus Point West,Allocated,16,3,1,0,0,0,0,0,2,3,2,0,16,1,fall
15,Campus Point West,B,217,0,0,0,0,0,7,48,53,71,75,0,217,1,fall
16,Campus Point West,Reserved,8,8,7,4,5,6,5,4,5,6,6,4,4,0.5,fall
17,Campus Point West,Visitor,675,211,116,64,36,44,32,81,121,176,212,32,643,0.9525925925925925,fall
18,Campus Point West Total,,1027,273,148,107,65,71,69,166,223,307,348,65,962,0.9367088607594937,fall
19,Gilman,A,401,248,208,97,76,62,74,106,109,139,190,62,339,0.8453865336658354,fall
20,Gilman,Accessible,42,0,0,2,0,0,6,12,20,26,28,0,42,1,fall
21,Gilman,Allocated,64,47,36,26,13,12,21,25,25,23,29,12,52,0.8125,fall
22,Gilman,B,123,0,0,0,0,3,0,8,18,32,56,0,123,1,fall
23,Gilman,Reserved,12,10,9,7,8,9,8,8,7,8,7,7,5,0.4166666666666667,fall
24,Gilman,UC Vehicle,12,7,8,7,11,7,8,8,7,6,8,6,6,0.5,fall
25,Gilman,Visitor,186,34,20,9,8,4,9,21,10,39,63,4,182,0.978494623655914,fall
26,Gilman Total,,840,346,281,148,116,97,126,188,196,273,381,97,743,0.8845238095238095,fall
27,Hopkins,A,233,211,199,84,58,20,39,50,46,65,71,20,213,0.9141630901287554,fall
28,Hopkins,Accessible,25,22,22,22,21,19,20,20,19,9,18,9,16,0.64,fall
29,Hopkins,Allocated,103,81,56,28,10,0,0,3,0,4,18,0,103,1,fall
30,Hopkins,B,603,420,188,1,0,0,0,7,1,34,69,0,603,1,fall
31,Hopkins,Reserved,14,8,4,6,6,4,5,5,5,7,7,4,10,0.7142857142857143,fall
32,Hopkins,S,100,0,0,0,0,0,0,1,0,0,1,0,100,1,fall
33,Hopkins,SR,228,0,0,0,0,0,0,1,0,5,6,0,228,1,fall
34,Hopkins,UC Vehicle,6,1,1,0,1,1,1,0,0,0,1,0,6,1,fall
35,Hopkins,Visitor,90,62,40,0,0,0,3,6,0,0,0,0,90,1,fall
36,Hopkins Total,,1402,805,510,141,96,44,68,93,71,124,191,44,1358,0.9686162624821684,fall
37,Medical Center Hillcrest,A,235,68,67,54,54,56,56,61,62,112,113,54,181,0.7702127659574468,fall
38,Medical Center Hillcrest,Accessible,45,4,4,5,4,4,4,5,8,14,20,4,41,0.9111111111111111,fall
39,Medical Center Hillcrest,Allocated,156,52,46,44,33,47,40,50,65,68,92,33,123,0.7884615384615384,fall
40,Medical Center Hillcrest,B,1089,123,123,87,82,85,107,164,375,480,661,82,1007,0.9247015610651974,fall
41,Medical Center Hillcrest,Loading,4,0,1,1,0,1,1,0,0,2,1,0,4,1,fall
42,Medical Center Hillcrest,Reserved,112,85,77,67,63,74,78,75,75,78,80,63,49,0.4375,fall
43,Medical Center Hillcrest,Service Yard,11,2,1,0,1,0,1,2,2,5,6,0,11,1,fall
44,Medical Center Hillcrest,UC Vehicle,12,4,3,2,3,4,5,6,8,5,5,2,10,0.8333333333333334,fall
45,Medical Center Hillcrest,Visitor,263,63,57,65,65,72,72,63,63,141,143,57,206,0.7832699619771863,fall
46,Medical Center Hillcrest Total,,1927,401,379,325,305,343,364,426,658,905,1121,305,1622,0.8417228853139596,fall
47,Nuevo West/Vela,Accessible,19,17,17,17,17,15,16,17,17,16,19,15,4,0.21052631578947367,fall
48,Nuevo West/Vela,Allocated,49,26,26,29,24,19,17,17,16,21,31,16,33,0.673469387755102,fall
49,Nuevo West/Vela,B,455,80,72,32,23,17,15,14,22,56,137,14,441,0.9692307692307692,fall
50,Nuevo West/Vela Total,,523,123,115,78,64,51,48,48,55,93,187,48,475,0.9082217973231358,fall
51,Pangea,A,84,70,53,46,32,20,4,12,16,25,28,4,80,0.9523809523809523,fall
52,Pangea,Accessible,15,13,12,10,9,10,12,10,8,8,10,8,7,0.4666666666666667,fall
53,Pangea,Allocated,16,10,6,1,2,1,0,1,5,9,10,0,16,1,fall
54,Pangea,B,329,198,69,0,0,0,0,0,28,39,70,0,329,1,fall
55,Pangea,Reserved,12,9,9,10,5,6,6,7,8,7,6,5,7,0.5833333333333334,fall
56,Pangea,S,410,0,0,0,0,0,0,0,4,6,19,0,410,1,fall
57,Pangea,UC Vehicle,9,7,7,6,6,5,6,6,6,6,6,5,4,0.4444444444444444,fall
58,Pangea,Visitor,76,41,26,22,3,0,0,2,8,15,17,0,76,1,fall
59,Pangea Total,,951,348,182,95,57,42,28,38,83,115,166,28,923,0.9705573080967402,fall
60,Scholars,A,292,175,20,0,0,0,13,16,35,61,69,0,292,1,fall
61,Scholars,Accessible,65,42,33,29,21,19,35,29,34,37,41,19,46,0.7076923076923077,fall
62,Scholars,Allocated,20,15,22,6,2,1,5,4,2,6,1,1,19,0.95,fall
63,Scholars,B,371,4,2,0,2,0,0,0,13,41,53,0,371,1,fall
64,Scholars,Reserved,31,24,19,16,17,13,13,14,18,14,18,13,18,0.5806451612903226,fall
65,Scholars,S,113,0,0,0,0,0,0,0,0,0,0,0,113,1,fall
66,Scholars,Service Yard,4,4,4,4,2,1,2,1,2,2,2,1,3,0.75,fall
67,Scholars,Visitor,147,56,7,0,1,0,13,9,6,9,13,0,147,1,fall
68,Scholars Total,,1043,320,107,55,45,34,81,73,110,170,197,34,1009,0.9674017257909875,fall
69,South Parking Structure,A,158,69,0,0,0,0,11,25,35,47,53,0,158,1,fall
70,South Parking Structure,Accessible,24,14,12,12,12,10,8,8,11,15,16,8,16,0.6666666666666666,fall
71,South Parking Structure,Allocated,94,21,7,0,1,2,4,9,8,16,19,0,94,1,fall
72,South Parking Structure,B,580,12,0,0,0,0,0,32,103,213,238,0,580,1,fall
73,South Parking Structure,Reserved,5,4,3,3,3,2,3,1,1,3,3,1,4,0.8,fall
74,South Parking Structure,S,317,0,0,0,0,0,0,2,3,2,7,0,317,1,fall
75,South Parking Structure,Service Yard,2,0,0,0,0,0,0,0,0,0,1,0,2,1,fall
